trace_id,transition_id,split,decision,label_source,label_reason,previous_token_count,current_token_count,previous_changed_token_count,current_changed_token_count,block_size,candidate_block_index,candidate_position_ratio,relative_block_offset,nearest_changed_block_distance,source_displacement_blocks,candidate_share_of_native_recompute,same_position_match,requires_repacking,changed_candidate_token_overlap_ratio,introduced_candidate_token_overlap_ratio,removed_candidate_token_overlap_ratio,changed_candidate_token_jaccard,mtrag_case_index,mtrag_collection,mtrag_conversation_id,mtrag_current_task_id
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,111,0.602238046795524,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.01046337817638266,0.007653061224489796,0.029357798165137616,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,112,0.6076636147846728,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.007473841554559043,0.0,0.023853211009174313,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,114,0.6185147507629705,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.016442451420029897,0.002551020408163265,0.027522935779816515,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,116,0.6293658867412683,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.02242152466367713,0.0,0.029357798165137616,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,117,0.6347914547304171,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.01046337817638266,0.007653061224489796,0.027522935779816515,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,118,0.6402170227195659,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.016442451420029897,0.007653061224489796,0.027522935779816515,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,121,0.6564937266870126,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.014947683109118086,0.00510204081632653,0.029357798165137616,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,122,0.6619192946761614,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.017937219730941704,0.0,0.025688073394495414,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,124,0.6727704306544592,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.01046337817638266,0.01020408163265306,0.029357798165137616,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9
mtrag:258193fc88e0e73322e288aa03719260:8-to-9,mtrag:258193fc88e0e73322e288aa03719260:8-to-9,train,reuse,counterfactual_execution,Reusing this block preserved the configured output-quality gate.,2672,2949,1406,1683,16,130,0.7053238385893523,0,0,31.0,0.3574368018812463,False,False,0.009506833036244802,0.01195814648729447,0.00510204081632653,0.029357798165137616,5,mt-rag-fiqa-beir-elser-512-100-20240501,258193fc88e0e73322e288aa03719260,258193fc88e0e73322e288aa03719260<::>9
