trace_id,transition_id,split,decision,label_source,label_reason,previous_token_count,current_token_count,previous_changed_token_count,current_changed_token_count,block_size,candidate_block_index,candidate_position_ratio,relative_block_offset,nearest_changed_block_distance,source_displacement_blocks,candidate_share_of_native_recompute,same_position_match,requires_repacking,changed_candidate_token_overlap_ratio,introduced_candidate_token_overlap_ratio,removed_candidate_token_overlap_ratio,changed_candidate_token_jaccard
dependency-version-64-early-facts_early-v1,dependency-version-64-early-facts_early-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,131,131,1,1,16,3,0.366412213740458,1,1,0.0,0.8080808080808081,True,False,1.0,1.0,0.0,0.0625
dependency-version-64-early-facts_early-v1,dependency-version-64-early-facts_early-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,131,131,1,1,16,4,0.48854961832061067,2,2,0.0,0.8080808080808081,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_early-v1,dependency-version-64-early-facts_early-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,131,131,1,1,16,5,0.6106870229007634,3,3,0.0,0.8080808080808081,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_early-v1,dependency-version-64-early-facts_early-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,131,131,1,1,16,6,0.732824427480916,4,4,0.0,0.8080808080808081,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_early-v1,dependency-version-64-early-facts_early-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,131,131,1,1,16,7,0.8549618320610687,5,5,0.0,0.8080808080808081,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_middle-v1,dependency-version-64-early-facts_middle-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,3,0.36363636363636365,1,1,0.0,0.8,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_middle-v1,dependency-version-64-early-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,"Block overlaps annotated dependent segments: left_fact, right_fact",132,132,1,1,16,4,0.48484848484848486,2,2,0.0,0.8,True,False,1.0,1.0,1.0,0.07142857142857142
dependency-version-64-early-facts_middle-v1,dependency-version-64-early-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,5,0.6060606060606061,3,3,0.0,0.8,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_middle-v1,dependency-version-64-early-facts_middle-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,6,0.7272727272727273,4,4,0.0,0.8,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_middle-v1,dependency-version-64-early-facts_middle-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,5,5,0.0,0.8,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_late-v1,dependency-version-64-early-facts_late-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,3,0.36363636363636365,1,1,0.0,0.8,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_late-v1,dependency-version-64-early-facts_late-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,4,0.48484848484848486,2,2,0.0,0.8,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_late-v1,dependency-version-64-early-facts_late-v1-base-to-edit,train,repair,synthetic_dependency,"Block overlaps annotated dependent segments: left_fact, right_fact",132,132,1,1,16,5,0.6060606060606061,3,3,0.0,0.8,True,False,1.0,1.0,1.0,0.06666666666666667
dependency-version-64-early-facts_late-v1,dependency-version-64-early-facts_late-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,6,0.7272727272727273,4,4,0.0,0.8,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_late-v1,dependency-version-64-early-facts_late-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,5,5,0.0,0.8,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_separated-v1,dependency-version-64-early-facts_separated-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,3,0.36363636363636365,1,1,0.0,0.8,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_separated-v1,dependency-version-64-early-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,4,0.48484848484848486,2,2,0.0,0.8,True,False,1.0,1.0,0.0,0.08333333333333333
dependency-version-64-early-facts_separated-v1,dependency-version-64-early-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: right_fact,132,132,1,1,16,5,0.6060606060606061,3,3,0.0,0.8,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_separated-v1,dependency-version-64-early-facts_separated-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,6,0.7272727272727273,4,4,0.0,0.8,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_separated-v1,dependency-version-64-early-facts_separated-v1-base-to-edit,train,repair,synthetic_dependency,Block overlaps annotated dependent segments: query,132,132,1,1,16,7,0.8484848484848485,5,5,0.0,0.8,True,False,0.0,0.0,0.0,0.0
dependency-version-64-early-facts_reversed-v1,dependency-version-64-early-facts_reversed-v1-base-to-edit,train,reuse,synthetic_dependency,Block does not overlap an annotated dependent segment.,132,132,1,1,16,3,0.36363636363636365,1,1,0.0,0.8,True,False,0.0,0.0,0.0,0.0
