activation_index,apc,prompt_token_count,num_cached_tokens,ttft_seconds,output_text,expect_flag,anomaly_entity,predicted_flagged_entities,correct
0,off,2786,0,0.6418852806091309,STATUS: nominal,False,,[],True
1,off,2789,0,0.659778356552124,STATUS: nominal,False,,[],True
2,off,2792,0,0.6581556797027588,STATUS: nominal,False,,[],True
3,off,2795,0,0.6513485908508301,STATUS: nominal,False,,[],True
4,off,2798,0,0.6556291580200195,STATUS: nominal,False,,[],True
5,off,2801,0,0.6581237316131592,STATUS: nominal,False,,[],True
6,off,2804,0,0.7071375846862793,STATUS: nominal,False,,[],True
7,off,2807,0,0.7041511535644531,STATUS: nominal,False,,[],True
8,off,2810,0,0.7065956592559814,STATUS: nominal,False,,[],True
9,off,2813,0,0.7099881172180176,STATUS: nominal,False,,[],True
10,off,2817,0,0.7101213932037354,STATUS: nominal,True,cost_of_sales,[],False
11,off,2817,0,0.70705246925354,STATUS: nominal,False,,[],True
12,off,2817,0,0.7071075439453125,STATUS: nominal,False,,[],True
13,off,2817,0,0.7092630863189697,STATUS: nominal,False,,[],True
14,off,2817,0,0.7089979648590088,STATUS: nominal,False,,[],True
15,off,2817,0,0.709571123123169,STATUS: nominal,False,,[],True
16,off,2817,0,0.7070748805999756,STATUS: nominal,False,,[],True
17,off,2817,0,0.7074787616729736,STATUS: nominal,False,,[],True
18,off,2817,0,0.7092375755310059,STATUS: nominal,False,,[],True
19,off,2817,0,0.7084677219390869,STATUS: nominal,False,,[],True
