activation_index,apc,prompt_token_count,num_cached_tokens,ttft_seconds,output_text,expect_flag,anomaly_entity,predicted_flagged_entities,correct
0,off,1423,0,0.3569767475128174,STATUS: nominal,False,,[],True
1,off,1426,0,0.3628098964691162,STATUS: nominal,False,,[],True
2,off,1429,0,0.375807523727417,STATUS: nominal,False,,[],True
3,off,1432,0,0.36234354972839355,STATUS: nominal,False,,[],True
4,off,1435,0,0.3756411075592041,STATUS: nominal,False,,[],True
5,off,1438,0,0.3651132583618164,STATUS: nominal,False,,[],True
6,off,1441,0,0.37202882766723633,STATUS: nominal,False,,[],True
7,off,1444,0,0.3644723892211914,STATUS: nominal,False,,[],True
8,off,1447,0,0.36796092987060547,STATUS: nominal,False,,[],True
9,off,1450,0,0.36937808990478516,STATUS: nominal,False,,[],True
10,off,1453,0,0.36562061309814453,STATUS: nominal,True,LHR-SFO,[],False
11,off,1453,0,0.3716919422149658,STATUS: nominal,False,,[],True
12,off,1453,0,0.36574816703796387,STATUS: nominal,False,,[],True
13,off,1453,0,0.37209510803222656,STATUS: nominal,False,,[],True
14,off,1453,0,0.3655064105987549,STATUS: nominal,False,,[],True
15,off,1453,0,0.37053370475769043,STATUS: nominal,False,,[],True
16,off,1453,0,0.3685300350189209,STATUS: nominal,False,,[],True
17,off,1453,0,0.36794424057006836,STATUS: nominal,False,,[],True
18,off,1453,0,0.3691592216491699,STATUS: nominal,False,,[],True
19,off,1453,0,0.36699342727661133,STATUS: nominal,False,,[],True
